"subj_idx","age","trial_num","trial_type","rt","response"
"1816_3",4.61875,22,"none",1.867,0
"1816_3",4.61875,23,"none",4.286,0
"1816_3",4.61875,25,"all",3.279,0
"1816_3",4.61875,26,"some",4.258,0
"1816_3",4.61875,27,"some",4.798,0
"1816_3",4.61875,28,"some",3.376,0
"1816_3",4.61875,29,"none",1.819,1
"1816_3",4.61875,30,"all",1.309,0
"1816_4",5.81246,1,"all",2.096,1
"1816_4",5.81246,2,"none",6.582,1
"1816_4",5.81246,3,"none",1.346,1
"1816_4",5.81246,4,"all",1.054,1
"1816_4",5.81246,5,"some",2.707,0
"1816_4",5.81246,6,"some",1.421,0
"1816_4",5.81246,7,"all",1.172,1
"1816_4",5.81246,8,"all",2.642,1
"1816_4",5.81246,9,"all",1.322,0
"1816_4",5.81246,10,"all",1.285,1
"1816_4",5.81246,11,"none",1.449,1
"1816_4",5.81246,12,"some",1.408,0
"1816_4",5.81246,13,"some",1.234,0
"1816_4",5.81246,14,"none",1.856,1
"1816_4",5.81246,15,"some",2.142,0
"1816_4",5.81246,16,"none",1.461,1
"1816_4",5.81246,17,"none",1.728,1
"1816_4",5.81246,18,"all",1.045,1
"1816_4",5.81246,19,"none",1.31,1
"1816_4",5.81246,20,"none",1.993,1
"1816_4",5.81246,21,"none",1.375,1
"1816_4",5.81246,22,"some",1.135,0
"1816_4",5.81246,23,"all",1.059,1
"1816_4",5.81246,24,"all",1.248,1
"1816_4",5.81246,25,"all",1.423,1
"1816_4",5.81246,26,"some",1.137,0
"1816_4",5.81246,27,"none",1.222,1
"1816_4",5.81246,28,"some",1.118,0
"1816_4",5.81246,29,"some",1.549,0
"1816_4",5.81246,30,"some",1.069,0
"1816_5",4.13142,1,"none",2.501,1
"1816_5",4.13142,2,"some",1.66,0
"1816_5",4.13142,3,"some",2.045,0
"1816_5",4.13142,4,"some",1.845,0
"1816_5",4.13142,5,"all",1.747,1
"1816_5",4.13142,6,"none",1.307,1
"1816_5",4.13142,7,"all",1.121,1
"1816_5",4.13142,8,"none",1.266,1
"1816_5",4.13142,9,"none",2.008,1
